label,x,y,count
G01,455.75,318.68,104
G01,519.9,292.5,88
G03,566.7,273,114
G04,615.6,256,144
G05,642.6,244,134
G06,672,232,161
G07,691,226,169
G08,707.6,259,163
G09,613,272,80
G10,545.5,295.6,107
G11,512.6,318.7,58
G12,494,317,35
G13,474.2,338.9,42
G14,449.8,340,372
G15,499.5,340.1,46
G16,543.9,338.7,53
G17,620.3,293.4,103
G18,671,285,41
G19,716,288,168
G20,673.8,311.3,49
G21,627.1,313.9,88
G22,613.3,326,15
G23,596.3,341,13
G24,615.5,347.8,10
G25,582.8,353,19
G26,452.1,367.3,446
G27,486,358.7,33
G28,512.1,369,21
G29,572.26,368,19
G30,642,361.5,107
G31,634,333.9,103
G32,681.6,336.2,54
G33,722.2,313.6,133
G34,726.5,339.5,142
G35,688.5,361.9,52
G36,466.5,378.5,150
G37,497.8,377.5,90
G38,528.7,380,86
G39,557.6,380.3,71
G41,629,374.1,71
G42,647.8,387,117
G43,732.4,379.86,149
G44,541.37,397.9,58
G45,483.7,413.6,48
G46,514,414.5,58
G47,567.9,414.1,21
G48,593.6,399.9,18
G49,622,419.5,30
G50,648.6,407.9,113
G51,662.9,396.8,75
G52,688.4,393.8,71
G53,715.7,383.8,79
G54,727,398,121
G56,674.4,411,30
G57,686.5,433.2,30
G58,680,449.4,49
G60,719.3,430,125
G61,697,462.5,101
G62,668.5,466.8,61
G63,652.6,467.5,58
G64,610.7,470.4,79
G65,595.1,456.1,26
G66,587.2,469.8,72
G67,567,450.4,18
G68,570,468.6,63
G69,549.9,468.8,70
G70,518.9,467.6,103
G71,538.5,440.5,57
G72,501.9,455.6,41
G73,459.3,427.5,415
G74,461.3,456.4,288
G75,483.3,468.8,123
G76,462.92,479.3,257
G77,499.2,487.2,48
G78,536.7,495,78
G79,680.1,482.7,41
G80,710.4,495.9,127
G81,708,559.8,213
G82,709.1,518.4,236
G83,683.3,515.75,38
G84,686.6,532.5,46
G85,669.4,532.9,27
G86,672.6,515.3,27
G87,651.42,522.96,50
G88,616.1,524.7,55
G89,634.6,500,92
G90,636.1,550,90
G91,675.6,566.9,51
G92,691.24,591,67
G93,669.15,598.621,73
G94,625.46,595.55,193
G95,578.1,567.4,210
G96,560.6,568.8,62
G97,544.1,551.16,122
G98,510.4,547.7,131
G100,497.1,532.9,50
G101,466,530.4,230
G102,478,543.3,152
